Chapter,Sub chapter,Toponym,Gazetteer ID,country ,lat,long
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Spain,geonames:2510769,ES,40,-4
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Spain,geonames:2510769,ES,40,-4
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,India,geonames:1269750,IN,22,79
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Persia,geonames:130758,IR,32,53
1,2,India,geonames:1269750,IN,22,79
1,2,Persia,geonames:130758,IR,32,53
1,2,East India,geonames:1269750,IN,22,79
1,2,India,geonames:1269750,IN,22,79
1,2,Kerridge,,,,
1,2,Persia,geonames:130758,IR,32,53
1,2,India,geonames:1269750,IN,22,79
1,2,Persia,geonames:130758,IR,32,53
1,2,India,geonames:1269750,IN,22,79
1,2,Goa,geonames:1712808,PH,13.6978,123.4892
1,2,Spain,geonames:2510769,ES,40,-4
1,2,Madrid,geonames:3117735,ES,40.4165,-3.70256
1,2,Goa,geonames:1712808,PH,13.6978,123.4892
1,2,Goa,geonames:1712808,PH,13.6978,123.4892
1,2,Masqat,geonames:287286,OM,23.58413,58.40778
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,East India,geonames:1269750,IN,22,79
1,2,India,geonames:1269750,IN,22,79
1,2,Spain,geonames:2510769,ES,40,-4
1,2,East India,geonames:1269750,IN,22,79
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Europe,geonames:6255148,,48.69096,9.14062
1,2,Turkey,geonames:298795,TR,39,35
1,2,India,geonames:1269750,IN,22,79
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Persia,geonames:130758,IR,32,53
1,2,East India,geonames:1269750,IN,22,79
1,2,Persia,geonames:130758,IR,32,53
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
